kingdom,aa,n,expected_frequency
Viruses,S,37,8.203231841110569e-43
Viruses,S,38,6.002177862362717e-44
Viruses,S,39,4.391700708846452e-45
Viruses,S,40,3.213339484160208e-46
Viruses,S,41,2.3511508012519266e-47
Viruses,S,42,1.720300677060977e-48
Viruses,S,43,1.2587173982717886e-49
Viruses,S,44,9.209840522872396e-51
Viruses,S,45,6.738697866034222e-52
Viruses,S,46,4.9306010041020255e-53
Viruses,S,47,3.6076444952649326e-54
Viruses,S,48,2.6396576793351208e-55
Viruses,S,49,1.9313966975454955e-56
Viruses,S,50,1.4131730915310332e-57
Viruses,Z,1,1.3344695897065775e-07
Viruses,Z,2,1.7808095611389773e-14
Viruses,Z,3,2.376436838655347e-21
Viruses,Z,4,3.1712835394404556e-28
Viruses,Z,5,4.231982573210963e-35
Viruses,Z,6,5.647453555389528e-42
Viruses,Z,7,7.536357040355876e-49
Viruses,Z,8,1.0057041971689855e-55
Viruses,Z,9,1.3420820255558808e-62
Viruses,Z,10,1.790968127994725e-69
Viruses,Z,11,2.3899931408174388e-76
Viruses,Z,12,3.1893740172528796e-83
Viruses,Z,13,4.256123772158046e-90
Viruses,Z,14,5.679669259841642e-97
Viruses,Z,15,7.579347929732207e-104
Viruses,Z,16,1.0114412021508727e-110
Viruses,Z,17,1.3497378862835076e-117
Viruses,Z,18,1.8011846440454984e-124
Viruses,Z,19,2.40362677443868e-131
Viruses,Z,20,3.207567691573409e-138
Viruses,Z,21,4.2804026837437125e-145
Viruses,Z,22,5.712068737671115e-152
Viruses,Z,23,7.622584059157473e-159
Viruses,Z,24,1.0172109336802429e-165
Viruses,Z,25,1.3574374196051823e-172
Viruses,Z,26,1.8114594398604866e-179
Viruses,Z,27,2.417338180653718e-186
Viruses,Z,28,3.2258651510829726e-193
Viruses,Z,29,4.304820093544972e-200
Viruses,Z,30,5.7446530372068526e-207
Viruses,Z,31,7.666066827595093e-214
Viruses,Z,32,1.0230135784445596e-220
Viruses,Z,33,1.3651808746497142e-227
