kingdom,aa,n,expected_frequency
Eukaryota,V,27,8.354785097671065e-40
Eukaryota,V,28,2.9906957382827283e-41
Eukaryota,V,29,1.0705554834050402e-42
Eukaryota,V,30,3.8321820183108604e-44
Eukaryota,V,31,1.371775610803056e-45
Eukaryota,V,32,4.910435666684586e-47
Eukaryota,V,33,1.7577494633056192e-48
Eukaryota,V,34,6.292075460256007e-50
Eukaryota,V,35,2.252324032749387e-51
Eukaryota,V,36,8.062464572371892e-53
Eukaryota,V,37,2.8860560929771296e-54
Eukaryota,V,38,1.0330984647489762e-55
Eukaryota,V,39,3.6981001182333893e-57
Eukaryota,V,40,1.323779383197594e-58
Eukaryota,V,41,4.738627401510517e-60
Eukaryota,V,42,1.6962486298968615e-61
Eukaryota,V,43,6.07192583554851e-63
Eukaryota,V,44,2.173518828701615e-64
Eukaryota,V,45,7.780371873224107e-66
Eukaryota,V,46,2.785077620966266e-67
Eukaryota,V,47,9.96952007075831e-69
Eukaryota,V,48,3.568709528704969e-70
Eukaryota,V,49,1.27746246658601e-71
Eukaryota,V,50,4.572830431868205e-73
Eukaryota,M,1,0.022531569232709544
Eukaryota,M,2,0.000532548364355262
Eukaryota,M,3,1.2587128639302476e-05
Eukaryota,M,4,2.975050117263273e-07
Eukaryota,M,5,7.031725386989207e-09
Eukaryota,M,6,1.661994251159465e-10
Eukaryota,M,7,3.928232032493835e-12
Eukaryota,M,8,9.284633138980735e-14
Eukaryota,M,9,2.194483722254372e-15
Eukaryota,M,10,5.1868056983542556e-17
Eukaryota,M,11,1.2259354252508663e-18
Eukaryota,M,12,2.897578498770235e-20
Eukaryota,M,13,6.848616153511905e-22
Eukaryota,M,14,1.6187151871140188e-23
Eukaryota,M,15,3.825939136112834e-25
Eukaryota,M,16,9.042857193016971e-27
Eukaryota,M,17,2.1373383972955897e-28
Eukaryota,M,18,5.051738988073065e-30
Eukaryota,M,19,1.1940115255454378e-31
Eukaryota,M,20,2.8221242754252997e-33
Eukaryota,M,21,6.670275165314298e-35
Eukaryota,M,22,1.5765631290033665e-36
Eukaryota,M,23,3.726309991914357e-38
Eukaryota,M,24,8.807377199426515e-40
Eukaryota,M,25,2.0816811618275282e-41
Eukaryota,M,26,4.920189474557502e-43
Eukaryota,M,27,1.1629189382822563e-44
Eukaryota,M,28,2.748634913368162e-46
Eukaryota,M,29,6.4965782551842e-48
Eukaryota,M,30,1.5355087290954102e-49
Eukaryota,M,31,3.629275234615565e-51
Eukaryota,M,32,8.578029208830002e-53
Eukaryota,M,33,2.0274732653428804e-54
Eukaryota,M,34,4.7920655684509985e-56
Eukaryota,M,35,1.1326360157183137e-57
Eukaryota,M,36,2.677059246743431e-59
Eukaryota,M,37,6.327404489278442e-61
Eukaryota,M,38,1.4955234038859518e-62
Eukaryota,M,39,3.5347673052362065e-64
Eukaryota,M,40,8.354653541162281e-66
Eukaryota,M,41,1.9746769664146567e-67
Eukaryota,M,42,4.66727806542427e-69
Eukaryota,M,43,1.1031416738273872e-70
Eukaryota,M,44,2.6073474420771787e-72
Eukaryota,M,45,6.1626360829245195e-74
Eukaryota,M,46,1.456579314197862e-75
Eukaryota,M,47,3.4427204040617037e-77
Eukaryota,M,48,8.137094674497596e-79
Eukaryota,M,49,1.9232555064192892e-80
Eukaryota,M,50,4.545740084068147e-82
Eukaryota,B,1,3.605960665062511e-06
Eukaryota,B,2,1.3003046095430796e-11
Eukaryota,B,3,4.688881090636273e-17
Eukaryota,B,4,1.690804271612329e-22
Eukaryota,B,5,6.097017667203333e-28
Eukaryota,B,6,2.1985764442587598e-33
Eukaryota,B,7,7.928037353821051e-39
Eukaryota,B,8,2.8588397027410515e-44
Eukaryota,B,9,1.0308937863454243e-49
Eukaryota,B,10,3.7173892530828156e-55
Eukaryota,B,11,1.3404856098633278e-60
Eukaryota,B,12,4.833773242230403e-66
Eukaryota,B,13,1.7430521883547032e-71
Eukaryota,B,14,6.285422958579284e-77
Eukaryota,B,15,2.2665151412090796e-82
Eukaryota,B,16,8.173023389489081e-88
Eukaryota,B,17,2.947181340668292e-93
Eukaryota,B,18,1.0627496632340276e-98
Eukaryota,B,19,3.832261120545545e-104
Eukaryota,B,20,1.3819082521610686e-109
Eukaryota,B,21,4.983142738245893e-115
Eukaryota,B,22,1.7969146295276993e-120
Eukaryota,B,23,6.479650203532537e-126
Eukaryota,B,24,2.336553226859465e-131
Eukaryota,B,25,8.425579792827415e-137
Eukaryota,B,26,3.038252843087125e-142
Eukaryota,B,27,1.0955899256197431e-147
Eukaryota,B,28,3.9506826689902774e-153
Eukaryota,B,29,1.4246109046896553e-158
Eukaryota,B,30,5.137127934092933e-164
Eukaryota,B,31,1.852441485907823e-169
Eukaryota,B,32,6.679879307538196e-175
Eukaryota,B,33,2.408755574884447e-180
Eukaryota,B,34,8.685940497441728e-186
Eukaryota,B,35,3.132138566143953e-191
Eukaryota,B,36,1.1294449922165283e-196
Eukaryota,B,37,4.0727635878941014e-202
Eukaryota,B,38,1.4686331213283232e-207
Eukaryota,B,39,5.295871460532847e-213
Eukaryota,B,40,1.9096841899574983e-218
Eukaryota,B,41,6.88629573537023e-224
Eukaryota,B,42,2.483189063634319e-229
Eukaryota,B,43,8.95434666577178e-235
Eukaryota,B,44,3.228925472693116e-240
Eukaryota,B,45,1.1643462217137474e-245
Eukaryota,B,46,4.198616956272895e-251
Eukaryota,B,47,1.5140156782194788e-256
Eukaryota,B,48,5.459520355791658e-262
Eukaryota,B,49,1.9686957634650463e-267
Eukaryota,B,50,7.099090682890617e-273
