kingdom,aa,n,expected_frequency
Eukaryota,V,23,1.3973034690179364e-27
Eukaryota,V,24,9.558077135232576e-29
Eukaryota,V,25,6.53808142244604e-30
Eukaryota,V,26,4.472291663033738e-31
Eukaryota,V,27,3.05921438215404e-32
Eukaryota,V,28,2.0926167927137553e-33
Eukaryota,V,29,1.43142797271509e-34
Eukaryota,V,30,9.791501474161728e-36
Eukaryota,V,31,6.6977523805589236e-37
Eukaryota,V,32,4.581512556543152e-38
Eukaryota,V,33,3.133925548918388e-39
Eukaryota,V,34,2.1437220186457247e-40
Eukaryota,V,35,1.466385854256353e-41
Eukaryota,V,36,1.0030626428521536e-42
Eukaryota,V,37,6.861322772346214e-44
Eukaryota,V,38,4.693400808194165e-45
Eukaryota,V,39,3.2104612881847e-46
Eukaryota,V,40,2.1960753202533986e-47
Eukaryota,V,41,1.5021974661320425e-48
Eukaryota,V,42,1.0275591216940348e-49
Eukaryota,V,43,7.028887828544672e-51
Eukaryota,V,44,4.8080215593642814e-52
Eukaryota,V,45,3.288866159085955e-53
Eukaryota,V,46,2.249707177646471e-54
Eukaryota,V,47,1.5388836578745603e-55
Eukaryota,V,48,1.0526538457999848e-56
Eukaryota,V,49,7.200545105586022e-58
Eukaryota,V,50,4.925441542293139e-59
Eukaryota,M,1,0.021670397726252583
Eukaryota,M,2,0.0004916629770786059
Eukaryota,M,3,1.1154962916852748e-05
Eukaryota,M,4,2.5308636907282515e-07
Eukaryota,M,5,5.742081859698196e-09
Eukaryota,M,6,1.3027767636900115e-10
Eukaryota,M,7,2.9557699410781765e-12
Eukaryota,M,8,6.706118951519852e-14
Eukaryota,M,9,1.5214997204934451e-15
Eukaryota,M,10,3.452013625462126e-17
Eukaryota,M,11,7.832008057491792e-19
Eukaryota,M,12,1.776944035219578e-20
Eukaryota,M,13,4.0315715728638293e-22
Eukaryota,M,14,9.146922483191919e-24
Eukaryota,M,15,2.0752748500528167e-25
Eukaryota,M,16,4.708431399933377e-27
Eukaryota,M,17,1.0682597655589745e-28
Eukaryota,M,18,2.423692371791299e-30
Eukaryota,M,19,5.498929101767275e-32
Eukaryota,M,20,1.2476097056787218e-33
Eukaryota,M,21,2.8306056486589376e-35
Eukaryota,M,22,6.4221433207439155e-37
Eukaryota,M,23,1.4570706750237675e-38
Eukaryota,M,24,3.305835522475216e-40
Eukaryota,M,25,7.500355809082987e-42
Eukaryota,M,26,1.7016980088811013e-43
Eukaryota,M,27,3.860851654428312e-45
Eukaryota,M,28,8.759589198381284e-47
Eukaryota,M,29,1.9873957818708207e-48
Eukaryota,M,30,4.5090493450626865e-50
Eukaryota,M,31,1.0230235055179246e-51
Eukaryota,M,32,2.321059302640285e-53
Eukaryota,M,33,5.266072829524653e-55
Eukaryota,M,34,1.194778738066374e-56
Eukaryota,M,35,2.710741531966871e-58
Eukaryota,M,36,6.150192850788651e-60
Eukaryota,M,37,1.3953699257504163e-61
Eukaryota,M,38,3.1658474407661013e-63
Eukaryota,M,39,7.1827476235846385e-65
Eukaryota,M,40,1.629638331897196e-66
Eukaryota,M,41,3.6973609988308413e-68
Eukaryota,M,42,8.388657831680034e-70
Eukaryota,M,43,1.903238018664086e-71
Eukaryota,M,44,4.3181102726691365e-73
Eukaryota,M,45,9.797028087962801e-75
Eukaryota,M,46,2.2227723076882715e-76
Eukaryota,M,47,5.043077030570419e-78
Eukaryota,M,48,1.144184937354983e-79
Eukaryota,M,49,2.595953151090274e-81
Eukaryota,M,50,5.889758327210666e-83
Eukaryota,B,1,4.344183863182835e-06
Eukaryota,B,2,1.887209740592865e-11
Eukaryota,B,3,8.198457333201256e-17
Eukaryota,B,4,3.5615915496073077e-22
Eukaryota,B,5,1.5472342967333697e-27
Eukaryota,B,6,6.721528663925413e-33
Eukaryota,B,7,2.9199810058086184e-38
Eukaryota,B,8,1.26850445792843e-43
Eukaryota,B,9,5.510664475499551e-49
Eukaryota,B,10,2.3939547686828936e-54
Eukaryota,B,11,1.039987003378579e-59
Eukaryota,B,12,4.517934011724944e-65
Eukaryota,B,13,1.9626906555553086e-70
Eukaryota,B,14,8.526363154944304e-76
Eukaryota,B,15,3.70404110521548e-81
Eukaryota,B,16,1.60911754048031e-86
Eukaryota,B,17,6.990363188560708e-92
Eukaryota,B,18,3.0367686808882056e-97
Eukaryota,B,19,1.3192396120869167e-102
Eukaryota,B,20,5.731069228460964e-108
Eukaryota,B,21,2.4897034777066847e-113
Eukaryota,B,22,1.0815823644429008e-118
Eukaryota,B,23,4.698633478037475e-124
Eukaryota,B,24,2.041190508159404e-129
Eukaryota,B,25,8.867383910822285e-135
Eukaryota,B,26,3.8521880788488053e-140
Eukaryota,B,27,1.6734758688765037e-145
Eukaryota,B,28,7.26995002940999e-151
Eukaryota,B,29,3.1582274004106717e-156
Eukaryota,B,30,1.372003971465296e-161
Eukaryota,B,31,5.960289298584936e-167
Eukaryota,B,32,2.58928175586004e-172
Eukaryota,B,33,1.1248413752032769e-177
Eukaryota,B,34,4.886560207307124e-183
Eukaryota,B,35,2.1228300439537274e-188
Eukaryota,B,36,9.222044146256346e-194
Eukaryota,B,37,4.0062603446625575e-199
Eukaryota,B,38,1.7404082755048665e-204
Eukaryota,B,39,7.560719236535172e-210
Eukaryota,B,40,3.284543987653152e-215
Eukaryota,B,41,1.4268786962353017e-220
Eukaryota,B,42,6.198677263643192e-226
Eukaryota,B,43,2.69284277074039e-231
Eukaryota,B,44,1.1698305750583414e-236
Eukaryota,B,45,5.0820032614271915e-242
Eukaryota,B,46,2.2077348378305625e-247
Eukaryota,B,47,9.59088938640692e-253
Eukaryota,B,48,4.166494890875682e-258
Eukaryota,B,49,1.810017713299548e-263
Eukaryota,B,50,7.86311806029736e-269
Eukaryota,F,1,0.042889412005838554
Eukaryota,F,2,0.002026474806081871
Eukaryota,F,3,9.574857634153444e-05
Eukaryota,F,4,4.524008807766182e-06
Eukaryota,F,5,2.1375415149507375e-07
Eukaryota,F,6,1.009963490852258e-08
Eukaryota,F,7,4.771959962976376e-10
Eukaryota,F,8,2.2546955503345644e-11
Eukaryota,F,9,1.065317409228157e-12
Eukaryota,F,10,5.033500785665672e-14
Eukaryota,F,11,2.3782705454568185e-15
Eukaryota,F,12,1.1237051563585788e-16
Eukaryota,F,13,5.309376096167881e-18
Eukaryota,F,14,2.508618419257615e-19
Eukaryota,F,15,1.1852930098473827e-20
Eukaryota,F,16,5.600371536811209e-22
Eukaryota,F,17,2.646110378594367e-23
Eukaryota,F,18,1.2502563606148943e-24
Eukaryota,F,19,5.907315809283634e-26
Eukaryota,F,20,2.7911379753708916e-27
Eukaryota,F,21,1.3187802123791056e-28
Eukaryota,F,22,6.231083034623445e-30
Eukaryota,F,23,2.944114221605473e-31
Eukaryota,F,24,1.39105970851236e-32
Eukaryota,F,25,6.572595242555773e-34
Eukaryota,F,26,3.105474765613408e-35
Eukaryota,F,27,1.4673006877739155e-36
Eukaryota,F,28,6.932824997264278e-38
Eukaryota,F,29,3.2756791326535684e-39
Eukaryota,F,30,1.5477202705010097e-40
Eukaryota,F,31,7.312798167075718e-42
Eukaryota,F,32,3.455212033572128e-43
Eukaryota,F,33,1.6325474769277913e-44
Eukaryota,F,34,7.713596845944941e-46
Eukaryota,F,35,3.644584745170229e-47
Eukaryota,F,36,1.7220238793929773e-48
Eukaryota,F,37,8.136362435060172e-50
Eukaryota,F,38,3.844336566226612e-51
