virus_TaxName,virus_TaxID,virushost_TaxName
Crimean-Congo hemorrhagic fever virus,11593,Ovis aries (Sheep)
Enterobacteria phage RB27 (Bacteriophage RB27),,Escherichia coli
Groundnut rosette virus,47740,Medicago sativa (Alfalfa)
Sulfolobus islandicus filamentous virus (SIFV),176106,Sulfolobus islandicus
Satellite tobacco mosaic virus (STMV),12881,Tulipa gesneriana (Garden tulip)
Dugbe virus,,Homo sapiens (Human)
African cassava mosaic virus,10817,Jatropha multifida (Coralbush)
Lettuce mosaic virus,12202,Spinacia oleracea (Spinach)
Koala retrovirus (KoRV),,Phascolarctos cinereus (Koala)
Cucumber necrosis virus (CNV),,Cucumis sativus (Cucumber)
Rabies virus,11292,Homo sapiens (Human)
Enterobacteria phage MS2 (Bacteriophage MS2),329852,Escherichia coli
Streptococcus pyogenes phage T12 (Bacteriophage T12),,Streptococcus pyogenes
Isfahan virus (ISFV),,Homo sapiens (Human)
Alcelaphine herpesvirus 1 (wildebeest herpesvirus),35252,Connochaetes gnou (Black wildebeest)
Bean pod mottle virus,12260,Phaseolus vulgaris (Kidney bean) (French bean)
Peanut clump virus,28355,Sorghum bicolor (Sorghum) (Sorghum vulgare)
Cowpox virus (CPV),,Felis catus (Cat) (Felis silvestris catus)
Alphapapillomavirus 10,333754,Pan paniscus (Pygmy chimpanzee) (Bonobo)
Rice black streaked dwarf virus (RBSDV),,Zea mays (Maize)
Avian coronavirus,694014,Gallus gallus (Chicken)
Belladonna mottle virus (BMDV),,Atropa belladonna (Belladonna) (Deadly nightshade)
Cypovirus 1 (CPV-1),205895,Lymantria dispar (Gypsy moth) (Porthetria dispar)
Tomato yellow leaf curl Sardinia virus (TYLCSV),123735,Solanum nigrum (Black nightshade)
Brome mosaic virus (BMV),,Bromus inermis (Smooth brome grass) (Bromopsis inermis)
African green monkey simian foamy virus,338079,Homo sapiens (Human)
Orf virus (ORFV),10258,Capra hircus (Goat)
Bean leafroll virus (BLRV),,Vigna unguiculata (Cowpea)
Rice gall dwarf virus (RGDV),,Nephotettix cincticeps (Green rice leafhopper) (Selenocephalus cincticeps)
Foot-and-mouth disease virus,12110,Rattus norvegicus (Rat)
Rinderpest virus,11241,Bos taurus (Bovine)
Bacillus phage B103 (Bacteriophage B103),10778,Bacillus subtilis
Enterobacteria phage 82 (Bacteriophage 82),,Escherichia coli
Barley yellow dwarf virus (isolate PAV) (BYDV),12040,Hordeum vulgare (Barley)
Tobamovirus Ob,,Nicotiana tabacum (Common tobacco)
Enterobacteria phage PA-2 (Bacteriophage PA-2),,Escherichia coli
Gloriosa stripe mosaic virus (GSMV),,Medicago sativa (Alfalfa)
Betacoronavirus 1,694003,Homo sapiens (Human)
Staphylococcus phage phiMR11,,Staphylococcus aureus
Encephalomyocarditis virus,12104,Oryctolagus cuniculus (Rabbit)
Enterobacteria phage fd (Bacteriophage fd),,Escherichia coli
Grapevine leafroll-associated virus 3,55951,Vitis vinifera (Grape)
Enterobacteria phage 933W sensu lato,374810,Shigella sonnei
Tupaia paramyxovirus (TPMV),,Tupaia belangeri (Common tree shrew) (Tupaia glis belangeri)
Pseudomonas phage PP7 (Bacteriophage PP7),,Pseudomonas aeruginosa
Escherichia phage Bf23 (Enterobacteria phage BF23),,Escherichia coli
Rift valley fever virus (RVFV),,Capra hircus (Goat)
Bacillus phage phi29 (Bacteriophage phi-29),,Bacillus subtilis
Avian infectious bursal disease virus (IBDV) (Gumboro disease virus),,Meleagris gallopavo (Common turkey)
Louping ill virus (Li),,Ovis aries (Sheep)
Mushroom bacilliform virus,32625,Agaricus bisporus (White button mushroom)
Porcine reproductive and respiratory syndrome virus (PRRSV),28344,Sus scrofa (Pig)
Tobacco rattle virus,12295,Capsicum annuum (Bell pepper)
Betacoronavirus 1,694003,Equus caballus (Horse)
Alphapapillomavirus 8,333757,Homo sapiens (Human)
Pepper ringspot virus,31750,Capsicum annuum (Bell pepper)
Lumpy skin disease virus (LSDV),,Bos taurus (Bovine)
Rotavirus B,28876,Rattus norvegicus (Rat)
Maize mosaic virus (MMV),279896,Sorghum bicolor (Sorghum) (Sorghum vulgare)
Japanese encephalitis virus,11072,Sus scrofa (Pig)
Tobacco rattle virus,12295,Stellaria media (Common chickweed) (Alsine media)
Human metapneumovirus,162145,Homo sapiens (Human)
Spiroplasma virus SpV1-C74 (SpV1),,Spiroplasma melliferum
Rift valley fever virus (RVFV),11588,Ovis aries (Sheep)
Enterobacteria phage Ox2 (Bacteriophage Ox2),,Escherichia coli
Lagos bat virus (LBV),,Homo sapiens (Human)
African cassava mosaic virus,10817,Manihot esculenta (Cassava) (Jatropha manihot)
Tobacco rattle virus,12295,Nicotiana tabacum (Common tobacco)
Barley yellow dwarf virus,12037,Lolium perenne (Perennial ryegrass)
Pseudalatia unipuncta granulosis virus (PuGV) (Pseudalatia unipuncta granulovirus),,Mythimna unipuncta (Armyworm moth) (Pseudaletia unipuncta)
Potato virus Y,12216,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Eggplant mottled crinkle virus,270256,Pyrus communis (Pear) (Pyrus domestica)
Escherichia phage T5 (Enterobacteria phage T5),,Escherichia coli
Colorado tick fever virus (CTFV),46839,Homo sapiens (Human)
Tomato pseudo-curly top virus (TPCTV),,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Raccoon poxvirus (RCN),,Procyon lotor (Raccoon)
Enterobacteria phage alpha3 (Bacteriophage alpha-3),,Escherichia coli
Southern cowpea mosaic virus (SCPMV) (Southern bean mosaic virus (strain cowpea)),,Vigna unguiculata (Cowpea)
Gloriosa stripe mosaic virus (GSMV),,Pisum sativum (Garden pea)
Bovine papillomavirus type 3,,Bos taurus (Bovine)
Barley yellow dwarf virus (isolate PAV) (BYDV),12040,Oryza sativa (Rice)
Beet western yellows virus,12042,Cucumis sativus (Cucumber)
Human coronavirus HKU1 (HCoV-HKU1),290028,Homo sapiens (Human)
Bovine herpesvirus 4 (BoHV-4) (Movar virus),10385,Panthera leo (Lion)
Enterobacteria phage K1E (Bacteriophage K1E),,Escherichia coli
Bean yellow mosaic virus,,Trifolium hybridum (Alsike clover)
Artogeia rapae granulovirus,362830,Pieris brassicae (White butterfly) (Large white butterfly)
Zucchini yellow mosaic virus,12232,Cucumis sativus (Cucumber)
Cercopithecine herpesvirus 9 (Simian varicella virus),35246,Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)
Bovine immunodeficiency virus,11657,Bos taurus (Bovine)
Bean leafroll virus (BLRV),,Medicago sativa (Alfalfa)
Spiroplasma virus 4 (SpV4),,Spiroplasma melliferum
Parainfluenza virus 5,11207,Macaca mulatta (Rhesus macaque)
Cycas necrotic stunt virus (CNSV),,Aucuba japonica (Japanese laurel) (Spotted laurel)
Sandfly fever sicilian virus (SFS),,Homo sapiens (Human)
Passion fruit woodiness virus,31732,Lens culinaris (Lentil) (Cicer lens)
Porcine astrovirus 1 (PAstV-1),,Sus scrofa (Pig)
Sindbis virus (SINV),11034,Homo sapiens (Human)
Torque teno tamarin virus,687382,Saguinus imperator (Emperor tamarin)
Foxtail mosaic virus,,Setaria italica (Foxtail millet) (Panicum italicum)
Broad bean wilt virus 1 (BBWV-1),50817,Capsicum annuum (Bell pepper)
Lettuce infectious yellows virus (LIYV),31713,Daucus carota (Wild carrot)
Influenza A virus,11320,Panthera tigris (Tiger)
Chandipura virus,11272,Homo sapiens (Human)
BK polyomavirus (BKPyV),10629,Homo sapiens (Human)
Nipah virus,,Eonycteris spelaea (Lesser dawn bat) (Macroglossus spelaeus)
Cowpea severe mosaic virus,12261,Psophocarpus tetragonolobus (Winged bean) (Dolichos tetragonolobus)
Peanut stunt virus,12313,Nicotiana tabacum (Common tobacco)
Tomato bushy stunt virus,12145,Capsicum annuum (Bell pepper)
Reston ebolavirus,186539,Homo sapiens (Human)
Simian foamy virus type 1 (SFVmac) (SFV-1),,Homo sapiens (Human)
Bovine leukemia virus (BLV),11901,Bos taurus (Bovine)
Cowpox virus (CPV),,Apodemus sylvaticus (European woodmouse)
Halobacterium phage phiH (Bacteriophage phi-H),,Halobacterium salinarum (Halobacterium halobium)
Striped jack nervous necrosis virus (SjNNV),,Oplegnathus fasciatus (Barred knifejaw) (Scaradon fasciatus)
Semliki forest virus (SFV),,Homo sapiens (Human)
Taro vein chlorosis virus (TAVCV),,Colocasia esculenta (Wild taro) (Arum esculentum)
Murine leukemia-related retroviruses,99182,Homo sapiens (Human)
Tomato aspermy virus (TAV),,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Barley yellow dwarf virus (isolate PAV) (BYDV),,Avena sativa (Oat)
Lettuce infectious yellows virus (LIYV),31713,Cucumis melo (Muskmelon)
Louping ill virus (Li),11086,Equus caballus (Horse)
Moloney murine sarcoma virus (MoMSV),,Mus musculus (Mouse)
Giardia lamblia virus,29255,Giardia intestinalis (Giardia lamblia)
Western equine encephalitis virus (WEEV),,Homo sapiens (Human)
Carnation mottle virus (CarMV),11986,Saponaria officinalis (Common soapwort) (Lychnis saponaria)
Mungbean yellow mosaic virus,33726,Glycine max (Soybean) (Glycine hispida)
Southern bean mosaic virus,12139,Glycine max (Soybean) (Glycine hispida)
Pepper huasteco yellow vein virus (PHYVV) (Pepper huasteco virus),,Capsicum annuum (Bell pepper)
Sulfolobus islandicus rod-shaped virus 1 (SIRV-1) (Sulfolobus virus SIRV-1),,Sulfolobus islandicus
Squash mosaic virus,12263,Cucurbita pepo (Vegetable marrow) (Summer squash)
Citrus psorosis virus,73561,Citrus paradisi (Grapefruit)
Enterobacteria phage K3 (Bacteriophage K3),,Escherichia coli
Papaya mosaic potexvirus (PMV),,Carica papaya (Papaya)
Beet ringspot virus (BRSV) (Tomato black ring virus (strain S)),,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Johnsongrass mosaic virus,31742,Sorghum bicolor (Sorghum) (Sorghum vulgare)
Squash leaf curl virus (SLCV),,Phaseolus vulgaris (Kidney bean) (French bean)
Caprine arthritis encephalitis virus (CAEV),11660,Capra hircus (Goat)
Tomato black ring virus,12275,Narcissus pseudonarcissus (Daffodil)
Wound tumor virus (WTV),,Trifolium incarnatum (Crimson clover)
Micromonas pusilla reovirus (MpRV),338781,Micromonas pusilla (Picoplanktonic green alga)
Tomato bushy stunt virus,12145,Solanum melongena (Eggplant) (Aubergine)
Alphapapillomavirus 7,337042,Homo sapiens (Human)
Barley yellow dwarf virus (isolate PAV) (BYDV),,Zea mays (Maize)
Rinderpest virus,11241,Bos indicus (Zebu)
