virus_TaxName,virus_TaxID,virushost_TaxName
Tobacco mosaic virus,12242,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Chapare mammarenavirus (isolate Human/Bolivia/810419/2003),,Homo sapiens (Human)
Enterobacteria phage RB18 (Bacteriophage RB18),,Escherichia coli
Tomato black ring virus,12275,Apium graveolens (Celery)
Groundnut rosette virus,47740,Vigna unguiculata (Cowpea)
Alfalfa mosaic virus,12321,Phaseolus vulgaris (Kidney bean) (French bean)
Tobacco rattle virus,12295,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Southern bean mosaic virus,12139,Vigna unguiculata (Cowpea)
Mason-Pfizer monkey virus (MPMV) (Simian Mason-Pfizer virus),11855,Macaca mulatta (Rhesus macaque)
West Nile virus (WNV),11082,Equus caballus (Horse)
Parsnip yellow fleck virus,12777,Pastinaca sativa (Parsnip) (Anethum pastinaca)
Human herpesvirus 7,10372,Homo sapiens (Human)
Rice stripe virus,12331,Oryza sativa (Rice)
St. Louis encephalitis virus,11080,Homo sapiens (Human)
Maize streak virus,10821,Eleusine coracana (Indian finger millet) (Ragi)
Subterranean clover stunt virus (SCSV),36772,Trifolium repens (Creeping white clover)
Maize rough dwarf virus (MRDV),,Lolium perenne (Perennial ryegrass)
Bunyamwera virus (BUNV),35304,Equus caballus (Horse)
Khujand virus (KHUV),,Myotis mystacinus (Whiskered bat)
Rift valley fever virus (RVFV),,Homo sapiens (Human)
Enterobacteria phage lambda (Bacteriophage lambda),10710,Escherichia coli
Wound tumor virus (WTV),10987,Catharanthus roseus (Madagascar periwinkle) (Vinca rosea)
Sweet potato mild mottle virus,41459,Ipomoea batatas (Sweet potato) (Convolvulus batatas)
Hirame rhabdovirus,38142,Paralichthys olivaceus (Bastard halibut) (Hippoglossus olivaceus)
Shigella phage SfX (Shigella flexneri bacteriophage X) (Bacteriophage SfX),,Shigella flexneri
Choristoneura fumiferana nuclear polyhedrosis virus (CfMNPV),,Choristoneura fumiferana (Spruce budworm moth) (Archips fumiferana)
Poplar mosaic virus,12166,Populus deltoides (Eastern poplar) (Eastern cottonwood)
Bluetongue virus,40051,Ovis aries (Sheep)
Harvey murine sarcoma virus,,Mus musculus (Mouse)
Bovine leukemia virus (BLV),,Bos taurus (Bovine)
Autographa californica multiple nucleopolyhedrovirus,307456,Helicoverpa zea (Corn earworm moth) (Heliothis zea)
Bovine ephemeral fever virus (BEFV),11303,Bos taurus (Bovine)
Influenza A virus,11320,Sus scrofa (Pig)
Dugbe virus,11595,Homo sapiens (Human)
Bdellovibrio phage phiMH2K (Bacteriophage phiMH2K),,Bdellovibrio bacteriovorus
Infectious salmon anemia virus,55987,Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)
Soybean chlorotic mottle virus,,Vigna unguiculata (Cowpea)
Alfalfa mosaic virus,12321,Malva parviflora (Little mallow) (Cheeseweed mallow)
Tomato spotted wilt virus (strain SA-05) (TSWV) (Groundnut ringspot virus),,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Tomato torrado virus,370833,Solanum tuberosum (Potato)
Vesicular stomatitis New Jersey virus,11280,Musca domestica (House fly)
Potato mop-top virus,37128,Solanum tuberosum (Potato)
Infectious salmon anemia virus,55987,Gadus morhua (Atlantic cod)
Satellite St. Augustine decline virus (SSADV),,Panicum virgatum (Switchgrass)
Tomato leaf curl virus,28350,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Canine distemper virus,11232,Panthera leo (Lion)
Peanut stunt virus,12313,Lupinus luteus (European yellow lupin)
Crimean-Congo hemorrhagic fever virus,11593,Homo sapiens (Human)
Vibrio phage CP-T1 (Bacteriophage CP-T1),,Vibrio cholerae
Borna disease virus (BDV),12455,Oryctolagus cuniculus (Rabbit)
Alfalfa mosaic virus,12321,Trifolium incarnatum (Crimson clover)
African horse sickness virus,40050,Loxodonta africana (African elephant)
Triticum mosaic virus,431317,Avena sativa (Oat)
Idnoreovirus 1,311226,Diadromus pulchellus (Parasitic wasp)
Cherry rasp leaf virus (CRLV),202566,Malus domestica (Apple) (Pyrus malus)
Tomato yellow leaf curl virus,10832,Solanum nigrum (Black nightshade)
Cowpea chlorotic mottle virus (CCMV),,Vigna unguiculata (Cowpea)
Carnation ringspot virus (CRSV),12268,Dianthus caryophyllus (Carnation) (Clove pink)
Lepidopteran iteradensovirus 1,1513210,Bombyx mori (Silk moth)
Enterobacteria phage HK97 (Bacteriophage HK97),,Escherichia coli
Tobacco rattle virus,12295,Beta vulgaris (Sugar beet)
Swinepox virus (SWPV),10276,Sus scrofa (Pig)
Murine coronavirus,694005,Rattus norvegicus (Rat)
Carnation mottle virus (CarMV),,Saponaria officinalis (Common soapwort) (Lychnis saponaria)
Viral hemorrhagic septicemia virus,11287,Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)
Enterobacteria phage ZJ/2 (Bacteriophage ZJ-2),,Escherichia coli
Adelaide River virus (ARV),,Syncerus caffer (African buffalo)
Louping ill virus (Li),11086,Sus scrofa (Pig)
Murid herpesvirus 4 (MuHV-4) (Murine gammaherpesvirus 68),,Apodemus sylvaticus (European woodmouse)
Ribgrass mosaic virus (RMV),,Plantago lanceolata (English plantain) (Ribwort plantain)
Sigma virus,,Drosophila melanogaster (Fruit fly)
Hepatitis A virus,12092,Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)
Primate erythroparvovirus 1,1511900,Homo sapiens (Human)
Citrus tristeza virus,12162,Citrus reticulata (Tangerine)
Striped jack nervous necrosis virus (SjNNV),,Lates calcarifer (Barramundi) (Holocentrus calcarifer)
Tobacco ringspot virus (TobRV) (TRSV),,Nicotiana tabacum (Common tobacco)
Bacillus phage SP01 (Bacteriophage SP01),,Bacillus subtilis
African green monkey simian foamy virus,338079,Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)
Pea enation mosaic virus-1 (PEMV-1),193121,Lens culinaris (Lentil) (Cicer lens)
Tobacco ringspot virus (TobRV) (TRSV),12282,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Human herpesvirus 2 (HHV-2) (Human herpes simplex virus 2),10310,Homo sapiens (Human)
Chikungunya virus (CHIKV),37124,Aedes aegypti (Yellowfever mosquito) (Culex aegypti)
Nipah virus,,Pteropus hypomelanus (Island flying fox) (Variable flying fox)
Soybean mosaic virus,12222,Glycine max (Soybean) (Glycine hispida)
Spleen focus-forming virus,11819,Mus musculus (Mouse)
Acanthamoeba polyphaga mimivirus (APMV),,Acanthamoeba polyphaga (Amoeba)
Hepatitis delta virus (HDV),12475,Homo sapiens (Human)
Torque teno mini virus 1,687369,Homo sapiens (Human)
Potato virus X (PVX),12183,Solanum tuberosum (Potato)
Tobacco yellow dwarf virus,10830,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Feline rotavirus,10921,Felis catus (Cat) (Felis silvestris catus)
Watermelon mosaic virus,146500,Cucurbita pepo (Vegetable marrow) (Summer squash)
Flock house virus (FHV),,Hordeum vulgare (Barley)
Dhori virus,11318,Homo sapiens (Human)
Rift valley fever virus (RVFV),,Camelus bactrianus (Bactrian camel)
Sputnik virophage,,Acanthamoeba polyphaga (Amoeba)
Rinderpest virus,11241,Giraffa camelopardalis (Giraffe)
Cercopithecine herpesvirus 16 (CeHV-16) (Herpesvirus papio 2),,Macaca mulatta (Rhesus macaque)
California encephalitis virus,35305,Bos taurus (Bovine)
Lettuce mosaic virus,12202,Pisum sativum (Garden pea)
Bovine papillomavirus type 3,10561,Bos taurus (Bovine)
Foot-and-mouth disease virus,12110,Loxodonta africana (African elephant)
Rice dwarf virus (RDV),10991,Nephotettix cincticeps (Green rice leafhopper) (Selenocephalus cincticeps)
Striped jack nervous necrosis virus (SjNNV),,Epinephelus akaara (Hong Kong grouper) (Serranus akaara)
Papaya ringspot virus,12205,Cucurbita pepo (Vegetable marrow) (Summer squash)
Potato leafroll virus (PLrV),,Solanum tuberosum (Potato)
Caprine arthritis encephalitis virus (CAEV),,Capra hircus (Goat)
Adelaide River virus (ARV),,Bos taurus (Bovine)
Abelson murine leukemia virus,,Mus musculus (Mouse)
Peanut stunt virus,12313,Medicago sativa (Alfalfa)
Sudan ebolavirus,186540,Homo sapiens (Human)
Human coronavirus 229E (HCoV-229E),,Homo sapiens (Human)
Tobacco mosaic virus,12242,Plantago lanceolata (English plantain) (Ribwort plantain)
Enterobacteria phage BZ13 (Bacteriophage BZ13),,Escherichia coli
Gloriosa stripe mosaic virus (GSMV),,Arachis hypogaea (Peanut)
Papaya ringspot virus,12205,Citrullus lanatus (Watermelon) (Citrullus vulgaris)
Avian coronavirus,694014,Meleagris gallopavo (Common turkey)
La Piedad-Michoacan-Mexico virus (LPMV),,Sus scrofa (Pig)
Beet ringspot virus (BRSV) (Tomato black ring virus (strain S)),,Phaseolus vulgaris (Kidney bean) (French bean)
European brown hare syndrome virus,33756,Lepus europaeus (European hare)
Listeria phage A118 (Bacteriophage A118),,Listeria monocytogenes
Rice tungro bacilliform virus,10654,Oryza sativa (Rice)
Enterovirus C,138950,Homo sapiens (Human)
Caviid herpesvirus 2,33706,Cavia porcellus (Guinea pig)
Infectious salmon anemia virus,55987,Salmo trutta (Brown trout)
High Plains virus,48726,Triticum aestivum (Wheat)
Pea enation mosaic virus-1 (PEMV-1),193121,Vicia sativa (Spring vetch) (Tare)
Bovine respiratory syncytial virus,11246,Bos taurus (Bovine)
Triticum mosaic virus,431317,Triticum aestivum (Wheat)
Apple chlorotic leaf spot virus,12175,Prunus persica (Peach) (Amygdalus persica)
Parsnip yellow fleck virus,12777,Coriandrum sativum (Coriander) (Chinese parsley)
Beet yellows virus,12161,Beta vulgaris (Sugar beet)
Infectious pancreatic necrosis virus,11002,Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)
His 1 virus (His1V) (Haloarcula hispanica virus 1),128708,Haloarcula hispanica
Turnip mosaic virus (strain Japanese) (TuMV),,Stellaria media (Common chickweed) (Alsine media)
Peste-des-petits-ruminants virus (PPRV),,Capra hircus (Goat)
Mycobacterium phage Bxz1 (Mycobacteriophage Bxz1),,Mycobacterium vaccae
Enterobacteria phage 186 (Bacteriophage 186),,Escherichia coli
Severe acute respiratory syndrome-related coronavirus,694009,Homo sapiens (Human)
Bean yellow mosaic virus,,Pisum sativum (Garden pea)
Pea early browning virus,,Phaseolus vulgaris (Kidney bean) (French bean)
Alfalfa mosaic virus,12321,Lablab purpureus (Hyacinth bean) (Dolichos lablab)
Maize streak virus,10821,Avena sativa (Oat)
Human mastadenovirus B,108098,Homo sapiens (Human)
Thogoto virus,11569,Amblyomma variegatum (Tropical bont tick)
Beet western yellows virus,12042,Capsicum annuum (Bell pepper)
Tomato mosaic virus,12253,Antirrhinum majus (Garden snapdragon)
Barley mild mosaic virus,12466,Hordeum vulgare (Barley)
Tomato spotted wilt virus (TSWV),11613,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Southern cowpea mosaic virus (SCPMV) (Southern bean mosaic virus (strain cowpea)),,Glycine max (Soybean) (Glycine hispida)
Tobacco streak virus,12317,Glycine max (Soybean) (Glycine hispida)
Staphylococcus phage phiMR25,,Staphylococcus aureus
Potato virus M,12167,Solanum tuberosum (Potato)
Leishmania RNA virus 1,1678905,Leishmania major
Serratia phage KSP20 (Serratia marcescens bacteriophage KSP20),,Serratia marcescens
Sendai virus,11191,Rattus norvegicus (Rat)
Getah virus (GETV),,Equus caballus (Horse)
Tupaiid herpesvirus 1 (strain 1) (TuHV-1) (Herpesvirus tupaia (strain 1)),,Tupaia belangeri (Common tree shrew) (Tupaia glis belangeri)
Kappapapillomavirus 2,10623,Sylvilagus floridanus (Cottontail rabbit)
Tobacco rattle virus,12295,Narcissus pseudonarcissus (Daffodil)
Tomato pseudo-curly top virus (TPCTV),,Solanum nigrum (Black nightshade)
Eriocheir sinensis reovirus (EsRV),273810,Eriocheir sinensis (Chinese mitten crab)
Foot-and-mouth disease virus,12110,Sus scrofa (Pig)
Rice dwarf virus (RDV),,Nephotettix cincticeps (Green rice leafhopper) (Selenocephalus cincticeps)
Rice tungro spherical virus,35287,Oryza sativa (Rice)
Sugarcane mosaic virus,12224,Sorghum bicolor (Sorghum) (Sorghum vulgare)
Bovine parainfluenza 3 virus (BPIV-3),,Bos taurus (Bovine)
Gammapapillomavirus 4,333930,Homo sapiens (Human)
Enterobacteria phage G4 (Bacteriophage G4),,Escherichia coli
Cercopithecine herpesvirus 16 (CeHV-16) (Herpesvirus papio 2),,Homo sapiens (Human)
Clover yellow vein virus,,Trifolium subterraneum (Subterranean clover)
Barley stripe mosaic virus (BSMV),,Triticum aestivum (Wheat)
Enterobacteria phage PRD1 (Bacteriophage PRD1),,Proteus mirabilis
Bovine herpesvirus 4 (BoHV-4) (Movar virus),,Bos taurus (Bovine)
Ungulate bocaparvovirus 1,1511873,Bos taurus (Bovine)
Peanut mottle virus,33763,Pisum sativum (Garden pea)
Pepper ringspot virus,31750,Nicotiana tabacum (Common tobacco)
Ribgrass mosaic virus (RMV),,Nicotiana tabacum (Common tobacco)
Pichinde mammarenavirus (PICV) (Pichind mammarenavirus),,Homo sapiens (Human)
Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus),37296,Homo sapiens (Human)
Groundnut rosette virus,47740,Lablab purpureus (Hyacinth bean) (Dolichos lablab)
Viral hemorrhagic septicemia virus,11287,Esox lucius (Northern pike)
Equine rotavirus,10937,Equus caballus (Horse)
Borna disease virus (BDV),12455,Lama glama (Llama)
Foot-and-mouth disease virus,12110,Bos taurus (Bovine)
Borna disease virus (BDV),,Lama glama (Llama)
Isfahan virus (ISFV),,Phlebotomus papatasi (Sandfly)
Enterobacteria phage LZ5 (Bacteriophage LZ5),,Escherichia coli
Cypovirus 1 (CPV-1),205895,Bombyx mori (Silk moth)
Encephalomyocarditis virus,,Sus scrofa (Pig)
Enterobacteria phage phiK (Bacteriophage phi-K),,Escherichia coli
Alphapapillomavirus 10,333754,Homo sapiens (Human)
Watermelon mosaic virus,146500,Cucumis sativus (Cucumber)
Torque teno virus 1,687340,Homo sapiens (Human)
Wheat dwarf virus,10834,Avena sativa (Oat)
Satellite panicum mosaic virus (SPMV),,Pennisetum americanum (Pearl millet) (Pennisetum glaucum)
Influenza A virus,11320,Panthera pardus (Leopard) (Felis pardus)
Newbury-1 virus,696856,Bos taurus (Bovine)
Listeria phage A500 (Bacteriophage A500),,Listeria monocytogenes
Pepper mottle virus (PeMV),12209,Capsicum annuum (Bell pepper)
Beet western yellows virus,12042,Cicer arietinum (Chickpea) (Garbanzo)
Machupo virus (MACV),,Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)
Puumala virus,11604,Homo sapiens (Human)
Powassan virus,11083,Marmota monax (Woodchuck)
Bovine ephemeral fever virus (BEFV),11303,Bubalus bubalis (Domestic water buffalo)
Bean golden yellow mosaic virus,220340,Phaseolus lunatus (Lima bean) (Phaseolus limensis)
Pothos latent virus,44562,Cajanus cajan (Pigeon pea) (Cajanus indicus)
Clover yellow vein virus,,Lupinus luteus (European yellow lupin)
Viral hemorrhagic septicemia virus,11287,Oncorhynchus kisutch (Coho salmon) (Salmo kisutch)
Bovine herpesvirus 4 (BoHV-4) (Movar virus),10385,Felis catus (Cat) (Felis silvestris catus)
Tobacco ringspot virus (TobRV) (TRSV),,Cucumis sativus (Cucumber)
Severe acute respiratory syndrome-related coronavirus,694009,Rhinolophus ferrumequinum (Greater horseshoe bat)
Chloris striate mosaic virus (CSMV),,Zea mays (Maize)
Louping ill virus (Li),11086,Bos taurus (Bovine)
Junin mammarenavirus (JUNV) (Junn mammarenavirus),,Calomys laucha (Small vesper mouse)
Strawberry mild yellow edge-associated virus (SMYEaV),,Fragaria vesca (Woodland strawberry) (Potentilla vesca)
Beet curly top virus,10840,Phaseolus vulgaris (Kidney bean) (French bean)
Louping ill virus (Li),11086,Homo sapiens (Human)
Beet ringspot virus (BRSV) (Tomato black ring virus (strain S)),,Lactuca sativa (Garden lettuce)
WU polyomavirus (WUPyV),,Homo sapiens (Human)
Peanut mottle virus,33763,Glycine max (Soybean) (Glycine hispida)
Rice yellow stunt virus (RYSV) (Rice transitory yellowing virus),,Oryza sativa (Rice)
Maize rough dwarf virus (MRDV),,Cynodon dactylon (Bermuda grass) (Panicum dactylon)
Enterobacteria phage T4 sensu lato,348604,Escherichia coli
Apple stem pitting virus,35350,Pyrus communis (Pear) (Pyrus domestica)
Mungbean yellow mosaic virus,33726,Vigna radiata (Mung bean)
Passion fruit woodiness virus,31732,Passiflora edulis (Passion fruit)
Hepatitis E virus (HEV),12461,Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)
Seoul virus,11608,Rattus rattus (Black rat)
Enterobacteria phage P4 (Bacteriophage P4),,Escherichia coli
Gloriosa stripe mosaic virus (GSMV),,Glycine max (Soybean) (Glycine hispida)
Hepatitis B virus (HBV),10407,Pongo pygmaeus (Bornean orangutan)
Frog virus 3 (FV-3),10493,Lithobates pipiens (Northern leopard frog) (Rana pipiens)
Mupapillomavirus 2,334204,Homo sapiens (Human)
Bovine mastadenovirus B,129950,Bos taurus (Bovine)
Puumala virus,11604,Myodes glareolus (Bank vole) (Clethrionomys glareolus)
Nile crocodilepox virus,1285600,Crocodylus niloticus (Nile crocodile) (African crocodile)
Orf virus (ORFV),10258,Homo sapiens (Human)
Middelburg virus,,Ovis aries (Sheep)
Barley yellow dwarf virus (isolate PAV) (BYDV),12040,Triticum aestivum (Wheat)
Bacillus phage rho11s (Bacteriophage rho-11s),,Bacillus subtilis
Cowpox virus (CPV),,Homo sapiens (Human)
Cowpox virus (CPV),10243,Myodes glareolus (Bank vole) (Clethrionomys glareolus)
Aquareovirus G,519014,Pseudorasbora parva
Bacillus phage SPbeta (Bacillus phage SPBc2) (Bacteriophage SP-beta),,Bacillus subtilis
Maize streak virus,10821,Eleusine indica (Goosegrass) (Cynosurus indicus)
Satellite tobacco mosaic virus (STMV),,Nicotiana glauca (Glaucous tobacco) (Tree tobacco)
Lettuce infectious yellows virus (LIYV),31713,Lactuca sativa (Garden lettuce)
Salmonella phage HK620 (Bacteriophage HK620),,Escherichia coli
Japanese encephalitis virus,11072,Homo sapiens (Human)
Pea early browning virus,,Pisum sativum (Garden pea)
Human cytomegalovirus (HHV-5) (Human herpesvirus 5),,Homo sapiens (Human)
Barley yellow dwarf virus (isolate MAV) (BYDV),12038,Zea mays (Maize)
Clostridium phage phiCD119,320122,Peptoclostridium difficile (Clostridium difficile)
Listeria phage A511 (Bacteriophage A511),,Listeria monocytogenes
Alphacoronavirus 1,693997,Sus scrofa (Pig)
Louping ill virus (Li),,Homo sapiens (Human)
Eggplant mosaic virus,,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Punta toro phlebovirus,,Homo sapiens (Human)
Human mastadenovirus E,130308,Homo sapiens (Human)
Carnation mottle virus (CarMV),,Malus domestica (Apple) (Pyrus malus)
Lepidopteran ambidensovirus 1,1513188,Galleria mellonella (Greater wax moth)
Ground squirrel hepatitis virus (strain 27) (GSHV),10406,Sciurus carolinensis (Gray squirrel)
Chikungunya virus (CHIKV),37124,Pan troglodytes (Chimpanzee)
Beet curly top virus,10840,Solanum tuberosum (Potato)
Eggplant mosaic virus,,Solanum melongena (Eggplant) (Aubergine)
Maize mosaic virus (MMV),279896,Zea mays (Maize)
Southern bean mosaic virus,12139,Vigna mungo (Black gram) (Phaseolus mungo)
Tobacco mild green mosaic virus (TMGMV) (TMV strain U2),,Nicotiana tabacum (Common tobacco)
Torque teno virus,68887,Homo sapiens (Human)
Enterobacteria phage T7 (Bacteriophage T7),,Escherichia coli
Enterobacteria phage PRD1 (Bacteriophage PRD1),,Vibrio cholerae
Avian leukosis virus (ALV),,Gallus gallus (Chicken)
Tomato leaf curl virus,28350,Malva parviflora (Little mallow) (Cheeseweed mallow)
Barley yellow dwarf virus,12037,Triticum aestivum (Wheat)
West Nile virus (WNV),,Homo sapiens (Human)
Dipteran brevidensovirus 1,1513193,Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)
Canine distemper virus,11232,Ailuropoda melanoleuca (Giant panda)
Raspberry bushy dwarf virus (RBDV),,Rubus ursinus (California blackberry)
Enterococcus phage phiEF24C (Enterococcus bacteriophage phi-EF24C),,Enterococcus faecalis (Streptococcus faecalis)
Red clover necrotic mosaic virus (RCNMV),,Medicago sativa (Alfalfa)
Cowpea severe mosaic virus,12261,Canavalia ensiformis (Jack bean) (Dolichos ensiformis)
Peanut mottle virus,33763,Arachis hypogaea (Peanut)
Tobacco streak virus,12317,Phaseolus vulgaris (Kidney bean) (French bean)
Apple chlorotic leaf spot virus,12175,Prunus armeniaca (Apricot) (Armeniaca vulgaris)
Ovine respiratory syncytial virus,28869,Ovis aries (Sheep)
Porcine circovirus 2 (PCV2),,Sus scrofa (Pig)
Pea enation mosaic virus-1 (PEMV-1),193121,Pisum sativum (Garden pea)
Shigella phage SfII (Shigella flexneri bacteriophage II) (Bacteriophage SfII),,Shigella flexneri
Staphylococcus phage phi11 (Bacteriophage phi-11),,Staphylococcus aureus
Bacillus phage SF6 (Bacteriophage SF6),,Bacillus subtilis
Barley yellow dwarf virus,12037,Secale cereale (Rye)
Cucumber mosaic virus (cucumber mosaic cucumovirus),12305,Nicotiana tabacum (Common tobacco)
Beet western yellows virus,12042,Citrullus lanatus (Watermelon) (Citrullus vulgaris)
Turnip mosaic virus (strain Japanese) (TuMV),12230,Stellaria media (Common chickweed) (Alsine media)
Bluetongue virus,40051,Capra hircus (Goat)
Milk vetch dwarf virus,67585,Glycine max (Soybean) (Glycine hispida)
Cowpox virus (CPV),10243,Loxodonta africana (African elephant)
Rinderpest virus,11241,Bubalus bubalis (Domestic water buffalo)
Rinderpest virus,11241,Capra hircus (Goat)
Human torovirus (HuTV),,Homo sapiens (Human)
Carnation Italian ringspot virus (CIRV),,Dianthus caryophyllus (Carnation) (Clove pink)
Enterobacteria phage RB3 (Bacteriophage RB3),31533,Escherichia coli
Severe acute respiratory syndrome-related coronavirus,694009,Paguma larvata (Masked palm civet)
Rice dwarf virus (RDV),,Oryza sativa (Rice)
Rhizobium phage 16-3 (Bacteriophage 16-3),,Rhizobium meliloti (Ensifer meliloti) (Sinorhizobium meliloti)
Mason-Pfizer monkey virus (MPMV) (Simian Mason-Pfizer virus),,Macaca mulatta (Rhesus macaque)
Atlantic halibut nervous necrosis virus (AhNNV),,Hippoglossus hippoglossus (Atlantic halibut) (Pleuronectes hippoglossus)
Maize streak virus,10821,Melinis repens (Natal redtop) (Rhynchelytrum repens)
Citrus tristeza virus,12162,Citrus paradisi (Grapefruit)
Rift valley fever virus (RVFV),,Bos taurus (Bovine)
Bovine herpesvirus 1,10320,Bos taurus (Bovine)
Tobacco necrosis virus (strain D) (TNV-D),,Cucumis sativus (Cucumber)
Tobacco necrosis virus (strain A) (TNV-A),,Phaseolus vulgaris (Kidney bean) (French bean)
Acute bee paralysis virus,92444,Apis mellifera (Honeybee)
Passion fruit woodiness virus,31732,Arachis hypogaea (Peanut)
Western equine encephalitis virus (WEEV),,Lepus americanus (Snowshoe hare)
Bovine herpesvirus 4 (BoHV-4) (Movar virus),,Felis catus (Cat) (Felis silvestris catus)
Barley yellow dwarf virus (isolate PAV) (BYDV),,Oryza sativa (Rice)
Rinderpest virus,11241,Ovis aries (Sheep)
Vesicular stomatitis New Jersey virus,11280,Equus caballus (Horse)
Beet mosaic virus (BtMV),,Spinacia oleracea (Spinach)
Enterobacteria phage I2-2 (Bacteriophage I2-2),,Escherichia coli
Enterobacteria phage phi80 (Bacteriophage phi-80),,Escherichia coli
Thogoto virus,11569,Cavia cutleri (Guinea pig)
Infectious salmon anemia virus,55987,Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)
Enterobacteria phage RB3 (Bacteriophage RB3),,Escherichia coli
Cucumber green mottle mosaic virus,12235,Lagenaria siceraria (Bottle gourd) (Lagenaria leucantha)
Clover yellow vein virus,,Trifolium hybridum (Alsike clover)
Wheat yellow head virus (WYHV),,Triticum aestivum (Wheat)
Sapporo virus,95342,Homo sapiens (Human)
Human papillomavirus type ME180,,Homo sapiens (Human)
Beet mosaic virus (BtMV),,Amaranthus retroflexus (Redroot amaranth) (Redroot pigweed)
Cucumber mosaic virus (cucumber mosaic cucumovirus),12305,Cucumis sativus (Cucumber)
Barley yellow dwarf virus (isolate MAV) (BYDV),,Avena sativa (Oat)
Human coronavirus NL63 (HCoV-NL63),,Homo sapiens (Human)
Yaba monkey tumor virus (YMTV),38804,Papio hamadryas (Hamadryas baboon)
Ground squirrel hepatitis virus (strain 27) (GSHV),10406,Spermophilus beecheyi (California ground squirrel) (Otospermophilus beecheyi)
Tobacco mosaic virus,12242,Nicotiana tabacum (Common tobacco)
Serratia phage KSP100 (Serratia marcescens bacteriophage KSP100),,Serratia marcescens
Rhesus papillomavirus type 1 (Rhpv 1),,Macaca mulatta (Rhesus macaque)
Enterovirus B,138949,Sus scrofa (Pig)
Bovine papillomavirus type 5,,Bos taurus (Bovine)
Watermelon mosaic virus,146500,Citrullus lanatus (Watermelon) (Citrullus vulgaris)
Indian cassava mosaic virus (ICMV),,Manihot esculenta (Cassava) (Jatropha manihot)
Tobacco necrosis virus (strain A) (TNV-A),,Tulipa gesneriana (Garden tulip)
Tobacco vein mottling virus (TVMV),,Nicotiana tabacum (Common tobacco)
Bean yellow mosaic virus,,Glycine max (Soybean) (Glycine hispida)
Lettuce infectious yellows virus (LIYV),31713,Citrullus lanatus (Watermelon) (Citrullus vulgaris)
St. Louis encephalitis virus,11080,Culex quinquefasciatus (Southern house mosquito) (Culex pungens)
Human mastadenovirus F,130309,Homo sapiens (Human)
Cherry rasp leaf virus (CRLV),202566,Prunus avium (Cherry) (Cerasus avium)
Ovine astrovirus 1 (OAstV-1),,Ovis aries (Sheep)
Cocksfoot mottle virus,40979,Triticum aestivum (Wheat)
African horse sickness virus,40050,Equus burchelli (Plains zebra) (Equus quagga)
Baboon endogenous virus,196403,Theropithecus gelada (Gelada baboon)
Betapapillomavirus 2,333924,Homo sapiens (Human)
Raspberry ringspot virus,12809,Rubus idaeus (Raspberry)
Bacteriophage H30,,Escherichia coli
Borna disease virus (BDV),,Bos taurus (Bovine)
Colorado tick fever virus (CTFV),46839,Peromyscus maniculatus (North American deer mouse)
Feline foamy virus (FFV) (Feline syncytial virus),,Felis catus (Cat) (Felis silvestris catus)
Avian infectious bursal disease virus (IBDV) (Gumboro disease virus),,Gallus gallus (Chicken)
Betapapillomavirus 3,334207,Homo sapiens (Human)
Wound tumor virus (WTV),10987,Trifolium incarnatum (Crimson clover)
Frog adenovirus (FrAdV),298331,Lithobates pipiens (Northern leopard frog) (Rana pipiens)
Human parainfluenza virus 3,11216,Homo sapiens (Human)
Porcine mastadenovirus B,130370,Sus scrofa (Pig)
Human papillomavirus type 64,,Homo sapiens (Human)
Norwalk virus,11983,Homo sapiens (Human)
Tomato yellow leaf curl virus,10832,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
Tobacco necrosis virus (strain D) (TNV-D),,Nicotiana tabacum (Common tobacco)
Mirafiori lettuce big-vein virus,200255,Lactuca sativa (Garden lettuce)
Ross River virus,11029,Equus caballus (Horse)
Zucchini yellow mosaic virus,12232,Cucurbita pepo (Vegetable marrow) (Summer squash)
Pseudomonas phage D3112 (Bacteriophage D3112),,Pseudomonas aeruginosa
Enterobacteria phage PRD1 (Bacteriophage PRD1),,Acinetobacter calcoaceticus
Ribgrass mosaic virus (RMV),51680,Nicotiana tabacum (Common tobacco)
Mokola virus (MOKV),,Felis catus (Cat) (Felis silvestris catus)
Rubella virus (RUBV),11041,Homo sapiens (Human)
Choristoneura biennis entomopoxvirus (CbEPV),,Choristoneura fumiferana (Spruce budworm moth) (Archips fumiferana)
